case_id,true_state,is_fraud,e1_new_account,e2_domain_mismatch,verified,e3_confirms,fraud_prob_pre_verification,final_fraud_prob,action,outcome,case_cost_rs
1,Genuine,0,1,0,1,1,0.62522,0.093602,Escalate,FP,2300
2,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
3,Genuine,0,1,0,1,1,0.62522,0.093602,Escalate,FP,2300
4,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
5,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
6,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
7,Impersonation,1,1,1,0,,1.0,1.0,Escalate,TP,0
8,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
9,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
10,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
11,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
12,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
13,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
14,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
15,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
16,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
17,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
18,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
19,Impersonation,1,1,1,0,,1.0,1.0,Escalate,TP,0
20,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
21,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
22,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
23,Something else,1,0,1,0,,1.0,1.0,Escalate,TP,0
24,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
25,Genuine,0,0,0,1,0,0.012353,0.095745,Escalate,FP,2300
26,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
27,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
28,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
29,Impersonation,1,1,1,0,,1.0,1.0,Escalate,TP,0
30,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
31,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
32,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
33,Genuine,0,0,0,1,0,0.012353,0.095745,Escalate,FP,2300
34,Compromised,1,1,0,1,0,0.62522,0.940309,Escalate,TP,300
35,Compromised,1,0,0,1,0,0.012353,0.095745,Escalate,TP,300
36,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
37,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
38,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
39,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
40,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
41,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
42,Genuine,0,0,0,1,0,0.012353,0.095745,Escalate,FP,2300
43,Compromised,1,1,0,1,0,0.62522,0.940309,Escalate,TP,300
44,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
45,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
46,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
47,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
48,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
49,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
50,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
51,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
52,Impersonation,1,0,1,0,,1.0,1.0,Escalate,TP,0
53,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
54,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
55,Genuine,0,0,0,1,0,0.012353,0.095745,Escalate,FP,2300
56,Something else,1,0,0,1,1,0.012353,0.002128,Pay,FN,800300
57,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
58,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
59,Compromised,1,1,0,1,0,0.62522,0.940309,Escalate,TP,300
60,Genuine,0,0,0,1,1,0.012353,0.002128,Pay,TN,300
